Event,Timestamp,Details
Score,3,
Total_Shots_Fired,12,
Game_Start_Time,1751108518545,
Shot_Fired,1751108529929,
Reload,1751108530863,
Shot_Fired,1751108539077,
Target_Hit,1751108539078,ID 3
Reload,1751108540106,
Shot_Fired,1751108555271,
Reload,1751108556236,
Reload,1751108556312,
Shot_Fired,1751108557265,
Reload,1751108558134,
Reload,1751108558182,
Shot_Fired,1751108560490,
Reload,1751108561085,
Shot_Fired,1751108564336,
Reload,1751108566033,
Reload,1751108566116,
Shot_Fired,1751108566902,
Target_Hit,1751108566903,ID 1
Reload,1751108568032,
Reload,1751108568094,
Shot_Fired,1751108626459,
Reload,1751108630058,
Reload,1751108630117,
Reload,1751108630238,
Shot_Fired,1751108635769,
Reload,1751108636630,
Reload,1751108636735,
Reload,1751108636810,
Shot_Fired,1751108638098,
Reload,1751108639434,
Reload,1751108639505,
Shot_Fired,1751108642831,
Game_End_Time,1751108644000,
Reload,1751108644059,
Reload,1751108644157,
Shot_Fired,1751108644742,
Target_Hit,1751108644743,ID 4
